brand,model,year,damage_class,severity,price_tnd
Toyota,RAV4,2018,front-bumper-dent,severe,1039.5
BMW,X5,2019,sidemirror-damage,moderate,443.05
Audi,A4,2021,fender-dent,light,561.92
Kia,Ceed,2022,runningboard-dent,severe,590.29
BMW,Serie 3,2018,runningboard-dent,light,449.06
Audi,A3,2024,front-bumper-dent,severe,1529.55
Peugeot,308,2025,front-bumper-dent,severe,847.84
Audi,A3,2025,doorouter-dent,light,675.26
Kia,Sportage,2018,signlight-damage,light,99.79
Toyota,RAV4,2020,pillar-dent,light,323.73
Kia,Ceed,2023,taillight-damage,severe,387.96
BMW,X5,2026,doorouter-dent,light,748.44
Mercedes,GLC,2022,roof-dent,severe,2754.67
Kia,Sportage,2023,bonnet-dent,moderate,775.91
Mercedes,Classe C,2021,bonnet-dent,severe,2394.56
Hyundai,Tucson,2023,rear-bumper-dent,moderate,620.73
Ford,Fiesta,2026,runningboard-dent,severe,612.56
Toyota,Corolla,2019,runningboard-dent,light,246.14
Hyundai,i20,2022,taillight-damage,moderate,262.35
Renault,Megane,2025,headlight-damage,moderate,286.38
Volkswagen,Tiguan,2017,headlight-damage,light,222.48
Volkswagen,Polo,2024,signlight-damage,light,100.95
Ford,Focus,2023,bonnet-dent,severe,1280.26
Peugeot,308,2023,rear-bumper-dent,moderate,558.66
Renault,Megane,2023,signlight-damage,moderate,147.42
Renault,Clio,2018,rear-bumper-dent,light,379.21
Volkswagen,Tiguan,2017,signlight-damage,light,111.24
Volkswagen,Tiguan,2024,bonnet-dent,severe,1261.88
BMW,X5,2019,rear-windscreen-damage,light,472.59
BMW,X5,2016,bonnet-dent,light,922.18
Peugeot,208,2026,signlight-damage,moderate,133.65
Volkswagen,Tiguan,2026,pillar-dent,moderate,544.5
Audi,Q5,2025,headlight-damage,severe,723.49
Kia,Sportage,2016,roof-dent,moderate,996.19
Volkswagen,Polo,2022,front-bumper-dent,severe,1082.19
Toyota,Yaris,2026,bonnet-dent,light,445.5
Renault,Clio,2019,quarterpanel-dent,severe,1013.27
Audi,A4,2019,bonnet-dent,severe,1969.11
Kia,Sportage,2023,signlight-damage,light,93.11
Peugeot,208,2022,roof-dent,severe,1239.6
Renault,Clio,2023,rear-bumper-dent,severe,884.54
Toyota,Yaris,2018,doorouter-dent,light,465.7
Volkswagen,Tiguan,2016,rear-bumper-dent,severe,1127.12
Peugeot,308,2019,front-bumper-dent,moderate,615.35
Renault,Captur,2024,sidemirror-damage,moderate,217.96
Ford,Focus,2025,roof-dent,light,580.3
Mercedes,Classe A,2021,doorouter-dent,severe,2234.92
Ford,Kuga,2025,pillar-dent,moderate,552.67
Renault,Clio,2022,rear-windscreen-damage,severe,598.16
Renault,Clio,2023,rear-windscreen-damage,moderate,393.13
Ford,Fiesta,2026,runningboard-dent,moderate,408.38
BMW,Serie 3,2017,fender-dent,severe,1668.62
Mercedes,Classe A,2025,rear-bumper-dent,light,723.49
Mercedes,Classe A,2017,runningboard-dent,moderate,842.74
Volkswagen,Golf,2019,sidemirror-damage,severe,406.13
Kia,Rio,2023,front-windscreen-damage,moderate,465.55
Kia,Rio,2018,signlight-damage,moderate,166.32
Renault,Clio,2017,headlight-damage,severe,480.36
Renault,Megane,2017,front-bumper-dent,light,400.3
Mercedes,Classe A,2020,front-bumper-dent,severe,2023.31
Hyundai,i20,2025,doorouter-dent,moderate,703.39
Ford,Focus,2024,quarterpanel-dent,severe,1093.63
Hyundai,i30,2019,front-windscreen-damage,light,295.37
Hyundai,i20,2022,doorouter-dent,light,440.75
Kia,Sportage,2025,runningboard-dent,moderate,376.82
Hyundai,i30,2025,front-windscreen-damage,severe,678.27
BMW,X5,2026,runningboard-dent,moderate,668.25
Peugeot,3008,2020,front-bumper-dent,severe,910.49
Mercedes,Classe C,2019,headlight-damage,severe,984.56
Renault,Megane,2022,runningboard-dent,severe,560.77
Mercedes,GLC,2025,rear-windscreen-damage,moderate,803.88
Toyota,Corolla,2018,sidemirror-damage,severe,374.22
Kia,Sportage,2026,runningboard-dent,light,222.75
Audi,A4,2022,roof-dent,severe,2203.74
BMW,X5,2017,roof-dent,light,1061.85
Kia,Sportage,2022,rear-bumper-dent,light,377.78
Volkswagen,Golf,2024,front-windscreen-damage,moderate,504.75
Toyota,Corolla,2026,quarterpanel-dent,severe,965.25
Hyundai,i30,2021,quarterpanel-dent,moderate,691.76
Audi,A4,2016,front-windscreen-damage,moderate,819.72
BMW,X3,2018,signlight-damage,severe,449.06
Hyundai,i30,2023,rear-windscreen-damage,light,248.29
Kia,Ceed,2019,quarterpanel-dent,moderate,711.07
Mercedes,Classe C,2020,pillar-dent,light,647.46
Mercedes,Classe A,2025,rear-windscreen-damage,light,482.33
Volkswagen,Golf,2024,quarterpanel-dent,moderate,729.09
Mercedes,Classe A,2026,roof-dent,light,1039.5
Volkswagen,Golf,2023,signlight-damage,light,102.42
Audi,Q5,2016,runningboard-dent,severe,1024.65
Kia,Rio,2023,quarterpanel-dent,light,403.47
Kia,Ceed,2026,quarterpanel-dent,severe,965.25
BMW,X5,2020,rear-bumper-dent,light,699.26
Ford,Focus,2016,roof-dent,moderate,1095.81
Audi,A3,2021,runningboard-dent,light,383.13
Audi,A3,2016,front-bumper-dent,light,683.1
Toyota,Yaris,2019,fender-dent,severe,902.51
BMW,Serie 3,2017,roof-dent,severe,2654.62
Mercedes,GLC,2018,front-windscreen-damage,moderate,997.92
Kia,Rio,2021,signlight-damage,severe,239.46
Audi,Q5,2019,runningboard-dent,severe,984.56
Renault,Megane,2017,taillight-damage,light,160.12
BMW,X5,2021,headlight-damage,light,344.82
Renault,Captur,2021,front-windscreen-damage,moderate,454.97
Audi,A4,2019,rear-windscreen-damage,severe,1050.19
Volkswagen,Tiguan,2025,signlight-damage,light,99.48
BMW,Serie 3,2022,sidemirror-damage,severe,637.51
Hyundai,i20,2024,roof-dent,severe,1338.36
Mercedes,Classe C,2017,doorouter-dent,moderate,1573.11
Renault,Captur,2018,signlight-damage,light,94.8
Peugeot,3008,2023,rear-windscreen-damage,moderate,372.44
Toyota,RAV4,2025,rear-bumper-dent,moderate,602.91
Kia,Ceed,2019,bonnet-dent,severe,1230.69
Toyota,Corolla,2016,doorouter-dent,light,478.17
Volkswagen,Golf,2022,roof-dent,light,606.03
Ford,Focus,2016,headlight-damage,moderate,375.7
Hyundai,i30,2019,headlight-damage,moderate,328.19
Audi,Q5,2016,taillight-damage,severe,683.1
Ford,Fiesta,2021,headlight-damage,moderate,351.2
Peugeot,3008,2016,bonnet-dent,moderate,768.49
Volkswagen,Golf,2019,pillar-dent,severe,902.51
Peugeot,308,2019,taillight-damage,severe,369.21
Toyota,RAV4,2019,roof-dent,severe,1435.81
Audi,Q5,2022,bonnet-dent,moderate,1259.28
Mercedes,Classe C,2026,front-windscreen-damage,light,534.6
Hyundai,i20,2019,front-windscreen-damage,severe,738.42
Mercedes,Classe A,2018,rear-windscreen-damage,light,532.22
Ford,Kuga,2019,taillight-damage,severe,451.25
BMW,X5,2023,sidemirror-damage,light,251.4
Audi,A3,2022,headlight-damage,severe,755.57
Audi,A4,2020,doorouter-dent,moderate,1208.59
Audi,A4,2023,rear-windscreen-damage,moderate,662.11
Renault,Megane,2018,rear-bumper-dent,moderate,632.02
Renault,Captur,2025,quarterpanel-dent,moderate,620.49
Mercedes,Classe C,2016,roof-dent,moderate,1992.37
Renault,Clio,2020,doorouter-dent,severe,1076.4
Mercedes,GLC,2018,sidemirror-damage,moderate,498.96
Hyundai,i30,2023,sidemirror-damage,moderate,232.77
Kia,Ceed,2023,rear-windscreen-damage,moderate,413.82
Mercedes,GLC,2023,taillight-damage,light,310.36
Audi,A3,2016,pillar-dent,severe,1366.2
Peugeot,308,2022,runningboard-dent,moderate,354.17
Renault,Captur,2021,front-bumper-dent,moderate,631.9
Volkswagen,Tiguan,2025,rear-windscreen-damage,moderate,442.13
Toyota,Corolla,2022,runningboard-dent,severe,590.29
Mercedes,Classe A,2022,sidemirror-damage,severe,708.34
Peugeot,3008,2023,fender-dent,severe,768.15
Peugeot,3008,2016,fender-dent,moderate,563.56
Renault,Captur,2019,taillight-damage,moderate,259.81
Toyota,Yaris,2026,quarterpanel-dent,severe,965.25
Toyota,RAV4,2026,fender-dent,light,326.7
Volkswagen,Tiguan,2023,fender-dent,light,375.54
Volkswagen,Golf,2025,doorouter-dent,severe,1160.6
Mercedes,Classe A,2017,roof-dent,light,1179.83
Renault,Megane,2025,runningboard-dent,light,214.79
Kia,Rio,2022,headlight-damage,moderate,314.82
Volkswagen,Tiguan,2020,bonnet-dent,severe,1335.39
Renault,Captur,2020,quarterpanel-dent,moderate,666.34
BMW,Serie 3,2026,doorouter-dent,moderate,1247.4
Mercedes,Classe C,2019,runningboard-dent,severe,1230.69
Renault,Captur,2020,front-windscreen-damage,light,276.79
Hyundai,i20,2017,rear-windscreen-damage,severe,674.19
Renault,Captur,2022,fender-dent,moderate,548.31
Renault,Clio,2018,signlight-damage,light,94.8
Mercedes,Classe A,2023,headlight-damage,severe,931.09
BMW,X5,2025,pillar-dent,light,542.62
Mercedes,Classe A,2016,quarterpanel-dent,light,888.03
Audi,A4,2022,rear-bumper-dent,severe,1511.14
Ford,Focus,2026,headlight-damage,light,196.02
Volkswagen,Golf,2022,rear-windscreen-damage,moderate,461.74
BMW,X5,2016,doorouter-dent,light,860.71
Hyundai,i30,2026,roof-dent,light,519.75
Toyota,Corolla,2020,roof-dent,light,566.53
Ford,Focus,2017,taillight-damage,severe,463.51
Toyota,Yaris,2025,bonnet-dent,moderate,753.64
Hyundai,i30,2021,doorouter-dent,moderate,744.97
Peugeot,308,2026,runningboard-dent,moderate,334.12
Peugeot,208,2021,fender-dent,moderate,526.8
Renault,Captur,2016,signlight-damage,moderate,162.24
BMW,Serie 3,2023,pillar-dent,severe,1396.64
Renault,Captur,2018,front-windscreen-damage,severe,711.02
BMW,X3,2020,quarterpanel-dent,light,757.53
Peugeot,308,2025,fender-dent,severe,746.1
Hyundai,Tucson,2022,fender-dent,light,346.3
Toyota,RAV4,2021,front-windscreen-damage,severe,718.37
Peugeot,208,2021,fender-dent,moderate,526.8
Audi,Q5,2023,front-bumper-dent,severe,1551.82
Ford,Focus,2021,front-bumper-dent,moderate,731.67
BMW,X3,2022,sidemirror-damage,severe,637.51
Audi,Q5,2018,pillar-dent,severe,1330.56
Ford,Kuga,2024,front-windscreen-damage,light,302.85
Hyundai,i20,2020,pillar-dent,severe,809.32
Kia,Sportage,2018,runningboard-dent,moderate,415.8
BMW,X5,2026,bonnet-dent,light,801.9
Audi,A3,2018,roof-dent,severe,2328.48
BMW,Serie 3,2022,quarterpanel-dent,light,736.68
Mercedes,Classe C,2022,roof-dent,moderate,1836.45
Audi,Q5,2020,fender-dent,moderate,949.61
BMW,X3,2018,runningboard-dent,severe,1122.66
Hyundai,i20,2021,pillar-dent,light,319.27
Ford,Kuga,2017,fender-dent,moderate,679.81
Renault,Captur,2022,fender-dent,severe,822.47
Kia,Sportage,2019,taillight-damage,moderate,273.49
BMW,X5,2017,rear-windscreen-damage,light,485.42
Peugeot,3008,2025,runningboard-dent,light,203.48
BMW,X3,2021,headlight-damage,moderate,574.69
Renault,Captur,2016,sidemirror-damage,light,146.01
Ford,Kuga,2019,pillar-dent,moderate,601.67
Renault,Megane,2021,roof-dent,severe,1326.99
Mercedes,GLC,2026,doorouter-dent,severe,2079.0
Audi,A3,2022,front-windscreen-damage,severe,1133.35
Hyundai,i30,2018,pillar-dent,moderate,554.4
Audi,A4,2026,rear-bumper-dent,light,570.24
Ford,Fiesta,2018,quarterpanel-dent,severe,1189.19
Toyota,RAV4,2021,sidemirror-damage,severe,359.18
BMW,X5,2025,rear-bumper-dent,severe,1627.86
Audi,A4,2020,quarterpanel-dent,moderate,1122.26
Toyota,Yaris,2018,pillar-dent,severe,831.6
Audi,Q5,2019,quarterpanel-dent,severe,1706.56
Toyota,Corolla,2023,quarterpanel-dent,moderate,672.46
Volkswagen,Tiguan,2018,front-windscreen-damage,severe,823.28
Renault,Megane,2022,fender-dent,moderate,548.31
Peugeot,308,2022,rear-windscreen-damage,severe,566.68
Volkswagen,Polo,2019,quarterpanel-dent,severe,1173.26
Renault,Clio,2018,signlight-damage,severe,237.01
Toyota,RAV4,2020,rear-bumper-dent,severe,971.19
Mercedes,GLC,2018,rear-bumper-dent,severe,1995.84
Hyundai,i30,2018,taillight-damage,light,166.32
Audi,Q5,2026,front-windscreen-damage,moderate,712.8
Ford,Focus,2026,roof-dent,light,571.73
Renault,Megane,2026,pillar-dent,light,282.15
Toyota,Corolla,2021,rear-bumper-dent,light,383.13
Toyota,Corolla,2024,fender-dent,moderate,560.84
Ford,Fiesta,2018,fender-dent,severe,1006.24
Renault,Clio,2016,rear-windscreen-damage,light,259.58
Renault,Megane,2020,quarterpanel-dent,severe,999.52
Mercedes,GLC,2022,roof-dent,severe,2754.67
BMW,X5,2026,front-bumper-dent,moderate,1113.75
Hyundai,i30,2016,rear-windscreen-damage,light,273.24
BMW,Serie 3,2023,fender-dent,severe,1536.31
Kia,Rio,2016,doorouter-dent,severe,1195.42
Ford,Fiesta,2020,quarterpanel-dent,severe,1157.33
BMW,X3,2018,front-bumper-dent,moderate,1247.4
Renault,Megane,2025,headlight-damage,light,171.83
Peugeot,208,2024,headlight-damage,moderate,275.32
Toyota,Yaris,2024,pillar-dent,severe,764.77
Kia,Sportage,2017,bonnet-dent,severe,1264.11
Kia,Ceed,2026,rear-windscreen-damage,light,237.6
BMW,Serie 3,2025,quarterpanel-dent,light,705.4
Toyota,RAV4,2023,roof-dent,moderate,905.23
BMW,Serie 3,2018,doorouter-dent,light,838.25
Mercedes,Classe A,2024,sidemirror-damage,light,275.32
BMW,Serie 3,2024,sidemirror-damage,moderate,412.98
Kia,Rio,2022,fender-dent,light,346.3
Audi,A4,2016,bonnet-dent,moderate,1366.2
Kia,Sportage,2018,doorouter-dent,moderate,776.16
Peugeot,3008,2021,doorouter-dent,severe,1005.72
Kia,Rio,2017,fender-dent,light,370.8
Audi,A3,2019,headlight-damage,moderate,525.1
Audi,A3,2025,bonnet-dent,light,723.49
Ford,Fiesta,2020,headlight-damage,severe,534.15
Ford,Fiesta,2017,bonnet-dent,moderate,927.01
Volkswagen,Polo,2026,runningboard-dent,light,245.02
Renault,Megane,2017,sidemirror-damage,severe,360.27
Renault,Captur,2018,bonnet-dent,light,474.01
BMW,X3,2020,fender-dent,severe,1602.46
Audi,Q5,2021,doorouter-dent,severe,1787.94
Kia,Ceed,2018,front-bumper-dent,light,415.8
Peugeot,308,2022,front-windscreen-damage,severe,637.51
Audi,A3,2020,rear-windscreen-damage,severe,1035.94
BMW,X3,2024,front-bumper-dent,light,688.3
Peugeot,3008,2017,signlight-damage,moderate,151.69
Volkswagen,Golf,2019,sidemirror-damage,light,162.45
BMW,X5,2019,front-bumper-dent,light,738.42
BMW,Serie 3,2024,quarterpanel-dent,moderate,1193.05
Ford,Fiesta,2017,bonnet-dent,moderate,927.01
Ford,Fiesta,2024,sidemirror-damage,severe,378.56
BMW,Serie 3,2018,signlight-damage,moderate,299.38
Mercedes,Classe C,2026,roof-dent,severe,2598.75
Kia,Ceed,2022,rear-bumper-dent,severe,944.46
Mercedes,Classe C,2016,fender-dent,severe,1878.52
Mercedes,GLC,2018,headlight-damage,moderate,665.28
Ford,Kuga,2020,front-windscreen-damage,severe,801.23
Peugeot,3008,2019,fender-dent,severe,812.26
Renault,Captur,2023,headlight-damage,moderate,294.85
Peugeot,308,2024,sidemirror-damage,moderate,206.49
Renault,Captur,2019,sidemirror-damage,severe,350.75
BMW,X5,2022,roof-dent,moderate,1652.81
BMW,X3,2017,rear-windscreen-damage,severe,1213.54
Audi,A3,2018,doorouter-dent,light,745.11
BMW,X3,2020,bonnet-dent,moderate,1456.78
Toyota,Yaris,2026,bonnet-dent,severe,1113.75
Mercedes,Classe C,2023,bonnet-dent,severe,2327.74
Kia,Ceed,2017,front-bumper-dent,light,421.37
Ford,Focus,2016,quarterpanel-dent,moderate,814.03
Kia,Ceed,2021,taillight-damage,severe,399.09
Kia,Ceed,2025,front-windscreen-damage,severe,678.27
Hyundai,i20,2026,runningboard-dent,severe,556.88
Audi,A3,2017,signlight-damage,light,161.81
Kia,Sportage,2016,front-bumper-dent,moderate,711.56
Renault,Clio,2021,rear-windscreen-damage,moderate,404.42
Audi,Q5,2017,sidemirror-damage,moderate,404.51
Hyundai,i30,2020,taillight-damage,light,161.87
Ford,Fiesta,2019,runningboard-dent,moderate,451.25
Kia,Rio,2023,runningboard-dent,severe,581.93
Hyundai,i20,2021,front-windscreen-damage,severe,718.37
Hyundai,i30,2020,signlight-damage,light,97.12
Toyota,Yaris,2018,front-bumper-dent,moderate,693.0
Toyota,Corolla,2022,rear-bumper-dent,light,377.78
BMW,X3,2024,runningboard-dent,light,412.98
Renault,Clio,2023,front-windscreen-damage,light,265.36
Volkswagen,Golf,2023,front-bumper-dent,moderate,711.25
Volkswagen,Polo,2022,runningboard-dent,light,259.73
Kia,Sportage,2017,rear-bumper-dent,severe,1011.29
Hyundai,i20,2018,signlight-damage,severe,249.48
Renault,Clio,2021,runningboard-dent,severe,568.71
Audi,A3,2019,sidemirror-damage,light,236.29
Mercedes,Classe C,2022,quarterpanel-dent,moderate,1364.22
Toyota,Corolla,2026,taillight-damage,moderate,247.5
Volkswagen,Golf,2022,rear-bumper-dent,severe,1038.91
Hyundai,Tucson,2018,signlight-damage,moderate,166.32
Kia,Ceed,2022,headlight-damage,light,188.89
BMW,Serie 3,2018,headlight-damage,moderate,598.75
Kia,Rio,2026,taillight-damage,light,148.5
Peugeot,308,2025,quarterpanel-dent,light,352.7
Renault,Megane,2020,sidemirror-damage,moderate,230.66
BMW,X5,2019,doorouter-dent,light,827.03
Kia,Rio,2019,sidemirror-damage,light,147.68
Volkswagen,Tiguan,2019,fender-dent,moderate,661.84
Audi,A4,2017,quarterpanel-dent,severe,1752.89
Kia,Ceed,2018,taillight-damage,severe,415.8
Mercedes,Classe A,2017,headlight-damage,moderate,674.19
Toyota,Yaris,2019,runningboard-dent,light,246.14
Renault,Clio,2025,taillight-damage,light,143.19
Toyota,Yaris,2022,bonnet-dent,moderate,787.05
Audi,A3,2021,front-bumper-dent,moderate,1064.25
Toyota,RAV4,2022,fender-dent,light,346.3
Volkswagen,Golf,2020,signlight-damage,moderate,178.05
Peugeot,3008,2022,taillight-damage,moderate,236.12
Toyota,Corolla,2016,front-windscreen-damage,light,307.39
Peugeot,208,2020,rear-bumper-dent,moderate,582.71
Ford,Focus,2022,headlight-damage,moderate,346.3
Hyundai,i30,2021,sidemirror-damage,light,143.67
BMW,X3,2016,fender-dent,severe,1690.67
Mercedes,Classe C,2021,quarterpanel-dent,moderate,1383.52
Ford,Kuga,2025,signlight-damage,light,99.48
Volkswagen,Golf,2025,front-bumper-dent,light,414.5
BMW,Serie 3,2026,quarterpanel-dent,severe,1737.45
BMW,Serie 3,2025,runningboard-dent,severe,1017.41
Audi,A3,2023,runningboard-dent,light,372.44
BMW,X3,2025,signlight-damage,moderate,271.31
Hyundai,i20,2024,quarterpanel-dent,light,397.68
Toyota,Corolla,2019,front-bumper-dent,severe,1025.58
Volkswagen,Tiguan,2021,runningboard-dent,moderate,439.0
Hyundai,Tucson,2017,runningboard-dent,moderate,421.37
BMW,X5,2022,bonnet-dent,severe,2125.03
Toyota,Corolla,2025,sidemirror-damage,severe,339.14
Mercedes,Classe C,2016,doorouter-dent,light,956.34
Audi,Q5,2022,rear-bumper-dent,severe,1511.14
Kia,Ceed,2017,headlight-damage,moderate,337.09
Kia,Sportage,2024,roof-dent,moderate,892.24
Renault,Captur,2020,taillight-damage,light,153.77
Toyota,Corolla,2025,taillight-damage,severe,376.82
Toyota,RAV4,2023,bonnet-dent,severe,1163.87
Kia,Sportage,2020,pillar-dent,light,323.73
Volkswagen,Tiguan,2020,bonnet-dent,light,534.15
Mercedes,Classe A,2016,bonnet-dent,light,1024.65
Volkswagen,Golf,2026,headlight-damage,moderate,326.7
Mercedes,Classe C,2016,fender-dent,light,751.41
Audi,Q5,2017,front-windscreen-damage,severe,1213.54
Peugeot,3008,2025,signlight-damage,moderate,135.65
BMW,X3,2024,sidemirror-damage,severe,619.47
Mercedes,Classe C,2025,sidemirror-damage,moderate,452.18
Toyota,RAV4,2016,pillar-dent,moderate,569.25
Audi,Q5,2020,headlight-damage,moderate,517.97
Toyota,RAV4,2026,pillar-dent,severe,742.5
BMW,X3,2022,fender-dent,moderate,1038.91
Ford,Kuga,2019,pillar-dent,moderate,601.67
Audi,A4,2020,taillight-damage,severe,647.46
Renault,Clio,2023,taillight-damage,severe,368.56
Renault,Megane,2018,runningboard-dent,moderate,395.01
BMW,X5,2018,rear-bumper-dent,light,718.5
Mercedes,Classe A,2025,rear-bumper-dent,severe,1808.73
Mercedes,GLC,2020,front-windscreen-damage,moderate,971.19
Mercedes,Classe A,2022,fender-dent,severe,1731.51
Audi,A3,2018,rear-windscreen-damage,moderate,709.63
Audi,A4,2026,front-bumper-dent,light,594.0
Kia,Rio,2016,doorouter-dent,light,478.17
Renault,Megane,2016,rear-windscreen-damage,light,259.58
Toyota,Corolla,2019,roof-dent,light,574.32
Volkswagen,Golf,2026,doorouter-dent,light,457.38
Toyota,Corolla,2024,quarterpanel-dent,moderate,662.81
BMW,Serie 3,2018,rear-bumper-dent,severe,1796.26
Hyundai,i20,2020,signlight-damage,moderate,161.87
Mercedes,Classe A,2016,bonnet-dent,severe,2561.62
Volkswagen,Tiguan,2024,rear-windscreen-damage,light,269.2
Toyota,Corolla,2024,sidemirror-damage,light,137.66
Kia,Sportage,2018,front-windscreen-damage,light,299.38
Toyota,Corolla,2022,front-bumper-dent,light,393.52
Peugeot,3008,2020,taillight-damage,severe,364.2
Renault,Captur,2017,rear-bumper-dent,light,384.29
BMW,Serie 3,2017,sidemirror-damage,moderate,455.08
BMW,X3,2021,rear-windscreen-damage,moderate,766.26
BMW,Serie 3,2025,headlight-damage,light,325.57
Renault,Captur,2021,doorouter-dent,light,424.64
Renault,Clio,2026,fender-dent,moderate,517.27
Ford,Fiesta,2021,runningboard-dent,light,263.4
Volkswagen,Polo,2026,signlight-damage,moderate,163.35
BMW,Serie 3,2018,roof-dent,severe,2619.54
Mercedes,Classe C,2018,front-bumper-dent,moderate,1386.0
Hyundai,i20,2017,doorouter-dent,moderate,786.56
Volkswagen,Golf,2017,signlight-damage,light,111.24
Mercedes,Classe C,2021,signlight-damage,moderate,319.27
Renault,Megane,2022,doorouter-dent,severe,1046.78
Peugeot,208,2026,runningboard-dent,light,200.48
Renault,Megane,2024,rear-bumper-dent,severe,871.84
Kia,Sportage,2024,bonnet-dent,light,458.86
Renault,Clio,2025,quarterpanel-dent,moderate,620.49
Kia,Ceed,2019,quarterpanel-dent,light,426.64
Audi,A4,2016,taillight-damage,light,273.24
Peugeot,3008,2023,headlight-damage,light,167.6
Toyota,Yaris,2021,pillar-dent,light,319.27
Volkswagen,Polo,2018,pillar-dent,severe,914.76
Renault,Clio,2019,pillar-dent,light,311.78
Toyota,RAV4,2018,rear-windscreen-damage,severe,665.28
Mercedes,Classe C,2016,quarterpanel-dent,moderate,1480.05
Peugeot,208,2017,fender-dent,severe,834.31
BMW,X5,2025,pillar-dent,light,542.62
Toyota,Corolla,2021,headlight-damage,light,191.56
Audi,A3,2016,doorouter-dent,moderate,1275.12
Mercedes,Classe A,2023,quarterpanel-dent,light,806.95
Kia,Ceed,2020,rear-bumper-dent,moderate,647.46
Peugeot,308,2026,quarterpanel-dent,light,347.49
Volkswagen,Golf,2018,front-windscreen-damage,severe,823.28
Toyota,RAV4,2018,bonnet-dent,light,498.96
Toyota,Yaris,2022,fender-dent,moderate,577.17
Kia,Ceed,2020,runningboard-dent,severe,606.99
Kia,Sportage,2019,front-bumper-dent,light,410.23
Volkswagen,Golf,2024,front-bumper-dent,light,420.63
Audi,A4,2025,front-windscreen-damage,light,434.1
Renault,Clio,2024,doorouter-dent,light,406.86
Hyundai,i30,2021,fender-dent,severe,878.01
Renault,Megane,2018,front-windscreen-damage,moderate,474.01
Renault,Clio,2020,rear-windscreen-damage,light,246.03
BMW,X5,2025,roof-dent,moderate,1582.64
Toyota,Corolla,2020,headlight-damage,severe,485.6
BMW,Serie 3,2019,doorouter-dent,light,827.03
Volkswagen,Golf,2024,taillight-damage,severe,420.63
Toyota,Corolla,2020,rear-windscreen-damage,severe,647.46
Ford,Focus,2025,roof-dent,moderate,967.17
Toyota,Corolla,2021,rear-windscreen-damage,moderate,425.7
Toyota,Yaris,2020,front-bumper-dent,severe,1011.66
Audi,A4,2022,quarterpanel-dent,moderate,1091.38
Mercedes,GLC,2026,rear-windscreen-damage,moderate,792.0
Renault,Captur,2024,rear-windscreen-damage,severe,581.23
Mercedes,Classe A,2025,roof-dent,moderate,1758.49
Hyundai,Tucson,2016,sidemirror-damage,light,153.7
Mercedes,GLC,2023,rear-windscreen-damage,severe,1241.46
BMW,X3,2019,runningboard-dent,light,443.05
Mercedes,GLC,2018,bonnet-dent,severe,2494.8
Ford,Kuga,2024,runningboard-dent,moderate,420.63
Hyundai,i20,2021,sidemirror-damage,moderate,239.46
Ford,Fiesta,2016,runningboard-dent,severe,704.45
Renault,Clio,2019,doorouter-dent,severe,1091.22
BMW,Serie 3,2025,fender-dent,moderate,994.8
BMW,Serie 3,2018,roof-dent,moderate,1746.36
Kia,Rio,2023,rear-windscreen-damage,moderate,413.82
Peugeot,208,2020,headlight-damage,light,174.81
Volkswagen,Tiguan,2021,signlight-damage,light,105.36
BMW,Serie 3,2023,sidemirror-damage,moderate,418.99
Volkswagen,Polo,2026,runningboard-dent,light,245.02
BMW,X3,2023,front-windscreen-damage,moderate,837.99
Volkswagen,Polo,2022,pillar-dent,severe,865.76
Mercedes,Classe C,2021,bonnet-dent,severe,2394.56
Peugeot,308,2017,fender-dent,moderate,556.21
Kia,Sportage,2020,runningboard-dent,severe,606.99
Toyota,RAV4,2026,front-windscreen-damage,severe,668.25
Audi,Q5,2024,front-windscreen-damage,light,440.51
BMW,X5,2022,headlight-damage,severe,850.01
Renault,Clio,2019,front-bumper-dent,moderate,649.53
BMW,X5,2023,rear-bumper-dent,severe,1675.97
Kia,Sportage,2017,rear-windscreen-damage,light,269.68
BMW,X5,2022,taillight-damage,moderate,472.23
Peugeot,208,2021,signlight-damage,severe,215.51
Hyundai,i20,2023,rear-windscreen-damage,moderate,413.82
Hyundai,i20,2024,headlight-damage,moderate,305.91
Mercedes,GLC,2019,signlight-damage,severe,492.28
Toyota,RAV4,2022,front-windscreen-damage,moderate,472.23
Renault,Megane,2019,front-windscreen-damage,light,280.6
Toyota,RAV4,2022,sidemirror-damage,moderate,236.12
Mercedes,Classe A,2018,rear-windscreen-damage,moderate,887.04
Renault,Clio,2020,pillar-dent,severe,768.86
Hyundai,i30,2024,taillight-damage,severe,382.39
Volkswagen,Golf,2016,rear-windscreen-damage,moderate,500.94
Peugeot,308,2018,taillight-damage,moderate,249.48
Renault,Megane,2023,bonnet-dent,severe,1105.68
Mercedes,GLC,2022,signlight-damage,severe,472.23
Ford,Fiesta,2016,bonnet-dent,severe,1408.89
Audi,A3,2026,doorouter-dent,severe,1663.2
Mercedes,Classe C,2026,pillar-dent,severe,1485.0
Peugeot,208,2018,runningboard-dent,moderate,374.22
Mercedes,Classe C,2021,rear-windscreen-damage,severe,1277.1
Renault,Megane,2024,quarterpanel-dent,light,377.8
Hyundai,i20,2026,rear-bumper-dent,severe,891.0
Ford,Focus,2016,taillight-damage,severe,469.63
Audi,A4,2024,roof-dent,light,856.55
Ford,Fiesta,2019,signlight-damage,light,108.3
Audi,Q5,2025,front-windscreen-damage,moderate,723.49
